Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
471.479782,9.108,1.391763,0.001058,0.00028,-0.002078,-0.000575
472.745131,9.109,3.489943,0.001057,0.000285,-0.002076,-0.000574
475.246509,9.11,1.485188,0.001067,0.000288,-0.002071,-0.000574
476.51064,9.111,1.626945,0.00106,0.000283,-0.002077,-0.000573
479.026996,9.112,1.586333,0.001063,0.000286,-0.002085,-0.000566
481.558087,9.113,2.518705,0.001053,0.000288,-0.002081,-0.000564
482.824052,9.114,0.102221,0.001052,0.000289,-0.002089,-0.000563
485.355494,9.116,1.627146,0.001055,0.000284,-0.002082,-0.000567
486.604856,9.116,1.663095,0.001045,0.000275,-0.002087,-0.000582
489.106044,9.117,1.746451,0.001024,0.000268,-0.002088,-0.000589
491.620563,9.119,1.655296,0.001026,0.000269,-0.00208,-0.000585
492.871431,9.119,1.751523,0.001028,0.000274,-0.002078,-0.000577
495.386746,9.121,1.658394,0.001021,0.000268,-0.002078,-0.00059
496.652299,9.121,1.819987,0.001018,0.00027,-0.002066,-0.000594
499.183165,9.122,1.64503,0.00102,0.000274,-0.002069,-0.000585
501.682401,9.124,1.842333,0.001021,0.000281,-0.00207,-0.000584
502.933137,9.124,1.737145,0.001025,0.000288,-0.002069,-0.000573
505.43122,9.125,1.859304,0.001026,0.000289,-0.002066,-0.000571
506.683397,9.126,1.683891,0.001028,0.000293,-0.002071,-0.00057
509.183164,9.127,1.956454,0.001033,0.000296,-0.002077,-0.000563
511.683395,9.128,1.796564,0.001036,0.000296,-0.002078,-0.000561
512.933401,9.129,1.924596,0.001035,0.000294,-0.00208,-0.000562
515.449408,9.13,2.348311,0.001025,0.000288,-0.002074,-0.000569
516.713523,9.131,1.820878,0.001019,0.000287,-0.002072,-0.000571
519.214026,9.132,1.983447,0.001016,0.000288,-0.002071,-0.000572
520.47927,9.133,1.543217,0.001016,0.000288,-0.002064,-0.00057
522.995437,9.134,1.977357,0.00101,0.000283,-0.002072,-0.000581
525.511749,9.135,2.075079,0.001,0.000283,-0.002079,-0.000588
526.778044,9.136,2.084894,0.001001,0.000285,-0.002079,-0.000585
529.278054,9.137,2.000148,0.001002,0.000286,-0.002082,-0.00058
530.526866,9.138,2.339223,0.001002,0.000288,-0.002076,-0.000578
533.043493,9.139,1.622886,0.001007,0.000298,-0.002069,-0.000571
535.57567,9.14,2.048176,0.001001,0.000292,-0.002065,-0.000572
536.82334,9.141,3.021802,0.000997,0.000287,-0.002069,-0.000577
539.338907,9.142,2.363192,0.000999,0.00029,-0.00207,-0.000576
540.604794,9.143,2.10281,0.001,0.000288,-0.002062,-0.000578
543.106051,9.144,2.215032,0.000995,0.000291,-0.002075,-0.000579
545.60438,9.145,2.677486,0.000987,0.000289,-0.002071,-0.000582
546.855237,9.146,2.135358,0.000987,0.000287,-0.002075,-0.000584
